originalXL,original_medium,original_nano,stylegan2-ada+original_medium,stylegan2-ada+original_nano,stylegan2-ada+original_xl,stylegan2-ada_medium
0.39056,0.38699,0.3285,0.45965,0.31138,0.40371,0.38515
0.41972,0.38062,0.36918,0.48771,0.37195,0.4745,0.44103
0.4517,0.46701,0.33495,0.4976,0.39874,0.51402,0.37417
0.41895,0.42287,0.41675,0.52864,0.4115,0.52674,0.41506
0.46248,0.47528,0.41329,0.50856,0.46463,0.52984,0.49759
0.50101,0.48109,0.45143,0.54903,0.47459,0.53154,0.50691
0.4852,0.4542,0.47065,0.55503,0.48634,0.55539,0.51416
0.50018,0.47426,0.421,0.53265,0.50842,0.54076,0.51575
0.535,0.5284,0.41859,0.55427,0.49728,0.55459,0.48334
0.52793,0.51039,0.49629,0.56582,0.50043,0.55763,0.55362
0.54786,0.49929,0.46246,0.58427,0.52214,0.58182,0.52153
0.5411,0.54354,0.48998,0.56841,0.51191,0.52711,0.54613
0.57534,0.5645,0.49435,0.58411,0.53,0.58301,0.55223
0.55153,0.56392,0.49586,0.58449,0.50788,0.58522,0.53788
0.55128,0.5575,0.52162,0.60306,0.53701,0.60136,0.56874
0.57424,0.56539,0.50386,0.58432,0.53382,0.59758,0.55113
0.53825,0.54215,0.51438,0.61196,0.53824,0.58736,0.56266
0.57783,0.52897,0.50773,0.58581,0.53537,0.60519,0.57175
0.5692,0.59425,0.52007,0.59914,0.53565,0.59549,0.56467
0.56692,0.55867,0.54159,0.60034,0.536,0.59879,0.55728
0.57824,0.59103,0.53179,0.60172,0.53995,0.6079,0.55967
0.5911,0.58725,0.51756,0.59413,0.54103,0.60183,0.57446
0.58833,0.57713,0.5302,0.59734,0.55098,0.61048,0.57692
0.60396,0.58258,0.54143,0.60478,0.53195,0.5983,0.58026
0.58436,0.58764,0.53999,0.61226,0.55618,0.61279,0.57199
0.60452,0.5942,0.53376,0.60687,0.54989,0.60434,0.59221
0.59733,0.59895,0.52072,0.62178,0.54489,0.61624,0.57708
0.61017,0.58263,0.54245,0.60676,0.54849,0.60821,0.5812
0.602,0.59059,0.52162,0.61081,0.54898,0.61308,0.58379
0.60179,0.58435,0.54136,0.6189,0.55754,0.61553,0.60675
0.60787,0.59707,0.54184,0.6116,0.54788,0.60776,0.5881
0.59829,0.60332,0.55036,0.61551,0.55577,0.6089,0.60192
0.58922,0.58448,0.53652,0.61786,0.54373,0.61185,0.5903
0.60262,0.57835,0.54125,0.61427,0.54962,0.62266,0.59966
0.60575,0.60334,0.54132,0.61667,0.55132,0.62069,0.59895
0.60891,0.59921,0.55127,0.61357,0.55545,0.61884,0.60154
0.61422,0.60563,0.55597,0.61479,0.55189,0.61513,0.59531
0.60964,0.60913,0.55743,0.61023,0.55515,0.61696,0.58962
0.62187,0.60763,0.5584,0.61505,0.56012,0.62016,0.59049
0.61502,0.60776,0.56447,0.61372,0.55649,0.61878,0.60266
0.61943,0.60134,0.55362,0.61432,0.54876,0.61671,0.60499
0.60318,0.59652,0.54845,0.61359,0.54374,0.61411,0.59152
0.62009,0.59369,0.5569,0.61474,0.54723,0.61097,0.59691
0.61648,0.60111,0.5562,0.60886,0.54784,0.61387,0.5902
0.62091,0.60058,0.55724,0.61481,0.5551,0.61535,0.5921
0.61451,0.60303,0.55936,0.61406,0.55175,0.61369,0.5942
0.61397,0.59621,0.56095,0.61376,0.54977,0.60938,0.58815
0.6192,0.60213,0.56666,0.61247,0.54498,0.61073,0.59402
0.61352,0.59899,0.56083,0.61223,0.54463,0.61283,0.59652
0.61578,0.60008,0.56668,0.61147,0.54437,0.61069,0.59367
