name,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
original_medium,37,2165.87,0.8973,0.56413,0.92548,0.75192,0.74405,0.78829,0.60563,0.81045,0.64795,0.86259,0.000478762,0.000478762,0.000478762
stylegan2-ada+original_medium,27,3069.31,0.60065,0.38535,0.86988,0.74432,0.75585,0.80481,0.62178,0.82455,0.59036,0.86212,0.000808828,0.000808828,0.000808828
stylegan2-ada_medium,30,1713.31,0.48111,0.32835,0.85824,0.74597,0.73659,0.79492,0.60675,0.84491,0.6316,0.86485,0.000709809,0.000709809,0.000709809
ddpm+original_medium,40,4591.27,0.7382,0.42746,0.87856,0.76877,0.74051,0.8018,0.6223,0.81197,0.60014,0.86909,0.000379743,0.000379743,0.000379743
mixed+original_medium,34,3894.26,0.69915,0.42396,0.88561,0.78799,0.75378,0.8134,0.632,0.80794,0.58401,0.85974,0.000577782,0.000577782,0.000577782
small_medium,42,2866.54,0.77961,0.45859,0.88321,0.74849,0.7444,0.79763,0.61798,0.82803,0.6105,0.87096,0.000313729,0.000313729,0.000313729
stich_only,43,4767.8,0.82307,0.45645,0.88951,0.78046,0.74349,0.78888,0.60996,0.82502,0.64922,0.87044,0.000280723,0.000280723,0.000280723




