epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.325,1.0979,1.0151,1.01202,0.53742,0.58376,0.53878,0.32862,1.23503,1.18719,0.96552,0.000554966,0.000554966,0.000554966
2,229.564,1.06751,0.854,1.00047,0.66619,0.63666,0.66136,0.46048,1.06979,0.93625,0.92909,0.00108864,0.00108864,0.00108864
3,341.597,1.03394,0.80794,0.99012,0.6429,0.67963,0.70256,0.50267,1.00248,0.79945,0.90338,0.00160031,0.00160031,0.00160031
4,452.925,1.00453,0.76894,0.97895,0.66784,0.67141,0.71356,0.51075,0.9887,0.80735,0.89918,0.00156798,0.00156798,0.00156798
5,565.001,0.9762,0.73082,0.96983,0.64783,0.61922,0.61625,0.43824,0.95866,1.13986,0.89281,0.00153497,0.00153497,0.00153497
6,677.531,0.95826,0.70131,0.96213,0.67029,0.6928,0.72041,0.52187,0.95953,0.78402,0.89308,0.00150197,0.00150197,0.00150197
7,790.27,0.93243,0.67394,0.95493,0.6738,0.68764,0.73031,0.53538,0.90881,0.75054,0.88107,0.00146896,0.00146896,0.00146896
8,907.156,0.91802,0.65393,0.95027,0.66909,0.7064,0.75443,0.55777,0.89614,0.71756,0.88254,0.00143595,0.00143595,0.00143595
9,1022.42,0.90844,0.64012,0.94553,0.66259,0.70861,0.73969,0.53947,0.92827,0.73597,0.88279,0.00140295,0.00140295,0.00140295
10,1139.69,0.89938,0.63449,0.94166,0.70089,0.71293,0.73823,0.54806,0.89561,0.74765,0.87582,0.00136994,0.00136994,0.00136994
11,1259.23,0.89238,0.62075,0.93892,0.75124,0.70889,0.77553,0.58689,0.87882,0.65782,0.8757,0.00133693,0.00133693,0.00133693
12,1375.83,0.8859,0.61147,0.93664,0.73883,0.6933,0.74874,0.55409,0.89857,0.7398,0.88318,0.00130393,0.00130393,0.00130393
13,1492.25,0.87901,0.60464,0.93526,0.72502,0.71673,0.77927,0.58716,0.86286,0.66311,0.87141,0.00127092,0.00127092,0.00127092
14,1608.24,0.87582,0.59126,0.93354,0.74876,0.71714,0.76339,0.57902,0.86502,0.68506,0.87104,0.00123791,0.00123791,0.00123791
15,1724.55,0.86303,0.58183,0.92784,0.71314,0.72684,0.77813,0.58496,0.87122,0.66669,0.87131,0.00120491,0.00120491,0.00120491
16,1840.88,0.85509,0.56935,0.92622,0.72751,0.72828,0.7796,0.59397,0.83281,0.64298,0.86366,0.0011719,0.0011719,0.0011719
17,1955.82,0.85175,0.56528,0.92377,0.74729,0.73438,0.79292,0.6057,0.83265,0.63054,0.86723,0.00113889,0.00113889,0.00113889
18,2072.64,0.85211,0.55829,0.92266,0.69721,0.73517,0.77849,0.58664,0.84865,0.67771,0.86905,0.00110589,0.00110589,0.00110589
19,2189.43,0.83596,0.54644,0.91948,0.75135,0.70705,0.76434,0.58129,0.83494,0.68187,0.86575,0.00107288,0.00107288,0.00107288
20,2305.82,0.83572,0.54006,0.91564,0.70219,0.72691,0.77289,0.59127,0.83162,0.67305,0.86928,0.00103987,0.00103987,0.00103987
21,2425.95,0.82969,0.53456,0.91687,0.73258,0.72641,0.76788,0.58366,0.83642,0.6863,0.86626,0.00100687,0.00100687,0.00100687
22,2544.64,0.82479,0.52717,0.91321,0.71741,0.72619,0.77004,0.59131,0.83041,0.66576,0.862,0.000973861,0.000973861,0.000973861
23,2663.79,0.81775,0.52257,0.91035,0.73873,0.72275,0.77378,0.5954,0.82595,0.66399,0.86176,0.000940855,0.000940855,0.000940855
24,2783.83,0.81445,0.51478,0.91002,0.72616,0.7212,0.76506,0.58367,0.83145,0.67479,0.86646,0.000907848,0.000907848,0.000907848
25,2902.15,0.81128,0.50925,0.90807,0.73879,0.72956,0.78305,0.60262,0.82191,0.63995,0.86566,0.000874842,0.000874842,0.000874842
26,3020.97,0.80436,0.50294,0.90505,0.75002,0.73285,0.78224,0.6038,0.82145,0.64917,0.86079,0.000841835,0.000841835,0.000841835
27,3137.31,0.80145,0.4977,0.90411,0.75049,0.73458,0.78403,0.60291,0.83016,0.63732,0.86328,0.000808828,0.000808828,0.000808828
28,3253.52,0.79501,0.4932,0.90188,0.76009,0.7277,0.78549,0.60831,0.82071,0.63569,0.86352,0.000775822,0.000775822,0.000775822
29,3365.6,0.78831,0.48532,0.89986,0.74978,0.73938,0.79466,0.61588,0.81341,0.62493,0.85988,0.000742815,0.000742815,0.000742815
30,3477.26,0.79204,0.48161,0.89904,0.7675,0.73633,0.78397,0.60587,0.81995,0.647,0.86286,0.000709809,0.000709809,0.000709809
31,3589.11,0.78127,0.47523,0.89748,0.74517,0.73725,0.78654,0.60953,0.81374,0.63315,0.86331,0.000676802,0.000676802,0.000676802
32,3701.01,0.77875,0.47002,0.89336,0.77637,0.73043,0.79412,0.61255,0.81694,0.61907,0.86214,0.000643795,0.000643795,0.000643795
33,3812.9,0.77123,0.46249,0.89064,0.76346,0.73166,0.78831,0.61306,0.8122,0.6221,0.86306,0.000610789,0.000610789,0.000610789
34,3924.03,0.77363,0.46094,0.89219,0.77157,0.72673,0.78354,0.60544,0.8239,0.64544,0.86675,0.000577782,0.000577782,0.000577782
35,4035.62,0.76206,0.45363,0.88771,0.74716,0.73655,0.78493,0.60526,0.82536,0.65153,0.86573,0.000544776,0.000544776,0.000544776
36,4146.75,0.75736,0.44712,0.88753,0.7656,0.74854,0.7897,0.61206,0.82295,0.63068,0.86806,0.000511769,0.000511769,0.000511769
37,4258.04,0.75034,0.44059,0.88435,0.76234,0.73276,0.77632,0.60091,0.82166,0.65322,0.86816,0.000478762,0.000478762,0.000478762
38,4369.01,0.74833,0.43764,0.88258,0.76982,0.72547,0.78532,0.60581,0.81904,0.64069,0.86872,0.000445756,0.000445756,0.000445756
39,4480.24,0.73728,0.4306,0.88063,0.77905,0.72751,0.79082,0.61004,0.81739,0.62693,0.87041,0.000412749,0.000412749,0.000412749
40,4591.27,0.7382,0.42746,0.87856,0.76877,0.74051,0.8018,0.6223,0.81197,0.60014,0.86909,0.000379743,0.000379743,0.000379743
