epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.4841,1.32729,1.39856,1.0347,0.46746,0.54299,0.44094,0.28213,1.23955,1.33667,0.9437,0.000554966,0.000554966,0.000554966
2,87.8331,1.19875,0.99913,0.9957,0.57559,0.62215,0.58466,0.38681,1.21539,1.0483,0.93921,0.00108864,0.00108864,0.00108864
3,130.155,1.15374,0.92215,0.98566,0.58969,0.61614,0.60551,0.40517,1.18204,0.99534,0.92493,0.00160031,0.00160031,0.00160031
4,170.862,1.12518,0.8853,0.9779,0.49351,0.63854,0.5803,0.39107,1.14981,1.10848,0.92478,0.00156798,0.00156798,0.00156798
5,211.641,1.09499,0.84661,0.96997,0.60919,0.65184,0.65902,0.45934,1.08378,0.89572,0.90176,0.00153497,0.00153497,0.00153497
6,252.28,1.07291,0.82281,0.9622,0.6457,0.65512,0.68257,0.48094,1.05413,0.85044,0.90052,0.00150197,0.00150197,0.00150197
7,292.96,1.04956,0.79661,0.95765,0.62358,0.67333,0.70051,0.48845,1.05467,0.83622,0.9,0.00146896,0.00146896,0.00146896
8,333.692,1.03547,0.77759,0.95266,0.57882,0.67143,0.65477,0.46645,1.02167,0.89482,0.89596,0.00143595,0.00143595,0.00143595
9,374.39,1.02576,0.76211,0.95086,0.64032,0.6574,0.68882,0.49185,1.02823,0.83373,0.89713,0.00140295,0.00140295,0.00140295
10,414.891,1.0156,0.7478,0.94752,0.66799,0.67287,0.70482,0.50218,0.98592,0.82226,0.88645,0.00136994,0.00136994,0.00136994
11,456.062,1.0057,0.73802,0.9446,0.63182,0.66629,0.67825,0.48316,1.00824,0.84909,0.89492,0.00133693,0.00133693,0.00133693
12,497.101,1.00046,0.72665,0.94295,0.62947,0.69255,0.70384,0.51302,0.96751,0.78386,0.8872,0.00130393,0.00130393,0.00130393
13,538.492,0.99347,0.71655,0.9419,0.6228,0.67616,0.679,0.48694,0.9799,0.85363,0.88802,0.00127092,0.00127092,0.00127092
14,579.75,0.98955,0.71043,0.93934,0.63451,0.67506,0.69122,0.49405,0.97209,0.824,0.88606,0.00123791,0.00123791,0.00123791
15,620.538,0.97739,0.699,0.93533,0.67345,0.69302,0.72278,0.53276,0.93616,0.76917,0.87501,0.00120491,0.00120491,0.00120491
16,660.983,0.97288,0.68941,0.93472,0.70343,0.68662,0.7244,0.53125,0.94028,0.76847,0.87709,0.0011719,0.0011719,0.0011719
17,701.966,0.96654,0.67838,0.93082,0.67056,0.68226,0.71497,0.5295,0.9356,0.76518,0.87738,0.00113889,0.00113889,0.00113889
18,742.543,0.96869,0.67687,0.93072,0.70665,0.69876,0.73679,0.54398,0.9381,0.73821,0.87617,0.00110589,0.00110589,0.00110589
19,783.245,0.95423,0.66509,0.93014,0.68701,0.69146,0.73385,0.54257,0.94394,0.73531,0.87597,0.00107288,0.00107288,0.00107288
20,823.607,0.94959,0.65779,0.92589,0.66507,0.70102,0.72739,0.5355,0.92106,0.75979,0.87767,0.00103987,0.00103987,0.00103987
21,864.454,0.94643,0.65679,0.927,0.71,0.68293,0.73583,0.54789,0.91727,0.74684,0.86952,0.00100687,0.00100687,0.00100687
22,905.431,0.94033,0.64793,0.92487,0.70253,0.67271,0.71098,0.53139,0.9182,0.77961,0.87103,0.000973861,0.000973861,0.000973861
23,946.252,0.93638,0.64298,0.9232,0.69596,0.6803,0.72735,0.53782,0.91564,0.76477,0.87187,0.000940855,0.000940855,0.000940855
