epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,231.104,1.0043,0.98383,1.02141,0.69062,0.68833,0.71406,0.50943,1.01362,1.09648,0.92867,0.000554966,0.000554966,0.000554966
2,457.593,0.98479,0.82341,1.01131,0.66698,0.71866,0.73321,0.49875,1.06323,0.96276,0.94453,0.00108864,0.00108864,0.00108864
3,667.296,0.95323,0.77118,0.99716,0.64314,0.68529,0.68052,0.48443,0.96776,0.91342,0.92212,0.00160031,0.00160031,0.00160031
4,879.434,0.93278,0.73856,0.98732,0.68519,0.67215,0.71066,0.52574,0.97458,0.88191,0.92981,0.00156798,0.00156798,0.00156798
5,1087.27,0.90624,0.69909,0.97616,0.72925,0.70058,0.73503,0.5538,0.90287,0.82652,0.89836,0.00153497,0.00153497,0.00153497
6,1294.9,0.88981,0.67378,0.97003,0.68877,0.74122,0.76046,0.56098,0.89754,0.80161,0.9006,0.00150197,0.00150197,0.00150197
7,1523.23,0.87033,0.64925,0.96247,0.7618,0.72186,0.78406,0.58964,0.88877,0.71729,0.89901,0.00146896,0.00146896,0.00146896
8,1737.91,0.85698,0.63253,0.95747,0.70108,0.72355,0.76365,0.57843,0.86598,0.74426,0.89829,0.00143595,0.00143595,0.00143595
9,1952.83,0.84873,0.61557,0.95251,0.72065,0.75533,0.7995,0.60749,0.87734,0.70292,0.89131,0.00140295,0.00140295,0.00140295
10,2169.59,0.83945,0.6048,0.95049,0.71419,0.72957,0.7774,0.58744,0.88643,0.73928,0.89038,0.00136994,0.00136994,0.00136994
11,2385.88,0.83387,0.59619,0.9474,0.78707,0.73406,0.78506,0.6047,0.85339,0.71348,0.88541,0.00133693,0.00133693,0.00133693
12,2614.22,0.83075,0.58608,0.94565,0.77916,0.72784,0.78866,0.60037,0.8715,0.71553,0.88987,0.00130393,0.00130393,0.00130393
13,2840.34,0.82202,0.57359,0.94267,0.76138,0.74984,0.81768,0.63238,0.83429,0.64597,0.88226,0.00127092,0.00127092,0.00127092
14,3058.45,0.81908,0.5639,0.93993,0.7783,0.75355,0.81015,0.61519,0.8768,0.66274,0.89019,0.00123791,0.00123791,0.00123791
15,3288.15,0.80676,0.55251,0.93415,0.75988,0.749,0.79104,0.60625,0.85795,0.69443,0.88576,0.00120491,0.00120491,0.00120491
16,3516.7,0.80259,0.54608,0.93292,0.78616,0.75353,0.81935,0.63379,0.85584,0.64732,0.88578,0.0011719,0.0011719,0.0011719
17,3728.7,0.79689,0.53762,0.92906,0.80489,0.76387,0.82701,0.64775,0.82028,0.62225,0.88024,0.00113889,0.00113889,0.00113889
18,3942.66,0.79699,0.52977,0.93011,0.77548,0.74627,0.80968,0.62824,0.84908,0.65964,0.88457,0.00110589,0.00110589,0.00110589
