epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.526,1.00265,0.96032,1.00366,0.58822,0.65057,0.6701,0.43983,1.16552,0.9581,0.93318,0.000554966,0.000554966,0.000554966
2,233.389,0.97297,0.79892,0.98866,0.68142,0.66792,0.69345,0.48557,1.04064,0.87609,0.90612,0.00108864,0.00108864,0.00108864
3,345.201,0.94133,0.75133,0.97633,0.67865,0.65692,0.67704,0.48338,1.00168,0.89903,0.89923,0.00160031,0.00160031,0.00160031
4,456.846,0.91516,0.71702,0.96548,0.71873,0.66469,0.73003,0.52913,1.03533,0.78754,0.90292,0.00156798,0.00156798,0.00156798
5,568.911,0.88742,0.67751,0.95573,0.69704,0.71429,0.75266,0.54411,0.9584,0.74649,0.88397,0.00153497,0.00153497,0.00153497
6,680.22,0.8694,0.6556,0.94873,0.69441,0.69681,0.73328,0.52079,0.97655,0.78791,0.89476,0.00150197,0.00150197,0.00150197
7,791.631,0.84823,0.62999,0.942,0.73082,0.71124,0.75825,0.5604,0.91728,0.70447,0.88157,0.00146896,0.00146896,0.00146896
8,903.049,0.83335,0.61226,0.93698,0.69362,0.70176,0.73992,0.54536,0.90723,0.7543,0.87644,0.00143595,0.00143595,0.00143595
9,1014.4,0.82607,0.59935,0.93401,0.70657,0.71345,0.75782,0.56108,0.90486,0.70458,0.87679,0.00140295,0.00140295,0.00140295
10,1125.71,0.82,0.58993,0.93126,0.72455,0.70692,0.76303,0.56566,0.89589,0.70558,0.87425,0.00136994,0.00136994,0.00136994
11,1237.26,0.81057,0.58039,0.92785,0.74315,0.71269,0.76986,0.57775,0.89153,0.68297,0.87076,0.00133693,0.00133693,0.00133693
12,1349.25,0.80411,0.56564,0.92568,0.74922,0.71117,0.76644,0.56961,0.88863,0.7095,0.87207,0.00130393,0.00130393,0.00130393
13,1465.3,0.79791,0.5568,0.92346,0.71986,0.73085,0.77598,0.58283,0.86697,0.66238,0.86901,0.00127092,0.00127092,0.00127092
14,1584.18,0.79334,0.54848,0.92121,0.72191,0.73648,0.78075,0.58594,0.87049,0.65651,0.8718,0.00123791,0.00123791,0.00123791
15,1700.51,0.781,0.53759,0.91641,0.75019,0.73576,0.79634,0.60705,0.84537,0.62872,0.8632,0.00120491,0.00120491,0.00120491
16,1814.03,0.77945,0.53191,0.91691,0.75823,0.72606,0.78391,0.59147,0.85698,0.65095,0.86557,0.0011719,0.0011719,0.0011719
17,1929.81,0.77188,0.52188,0.91165,0.7689,0.74111,0.79734,0.6087,0.83279,0.62008,0.86633,0.00113889,0.00113889,0.00113889
18,2044.36,0.77275,0.51579,0.91261,0.75419,0.73509,0.784,0.59521,0.83001,0.64866,0.86483,0.00110589,0.00110589,0.00110589
19,2164.42,0.76187,0.50915,0.91151,0.76913,0.73007,0.79011,0.60228,0.84434,0.62063,0.86906,0.00107288,0.00107288,0.00107288
20,2287.54,0.75411,0.4987,0.90537,0.74048,0.72973,0.79587,0.60757,0.83826,0.6304,0.867,0.00103987,0.00103987,0.00103987
21,2399.81,0.75574,0.4973,0.90829,0.78123,0.72923,0.79143,0.60484,0.83958,0.63844,0.86379,0.00100687,0.00100687,0.00100687
22,2517.14,0.74752,0.48769,0.90417,0.77055,0.73443,0.79291,0.61051,0.81914,0.62755,0.86,0.000973861,0.000973861,0.000973861
23,2633.42,0.74451,0.4847,0.90211,0.79145,0.72976,0.80358,0.61908,0.82711,0.60885,0.86341,0.000940855,0.000940855,0.000940855
24,2746.12,0.73641,0.4739,0.90082,0.76542,0.74443,0.80042,0.61456,0.82356,0.60998,0.86036,0.000907848,0.000907848,0.000907848
25,2858.45,0.73326,0.46993,0.89903,0.74441,0.73851,0.80034,0.61658,0.82463,0.61196,0.86085,0.000874842,0.000874842,0.000874842
26,2971.88,0.72881,0.46666,0.89708,0.78028,0.74263,0.79895,0.61731,0.82418,0.62186,0.86224,0.000841835,0.000841835,0.000841835
27,3088.58,0.72926,0.46337,0.89711,0.76679,0.73697,0.7998,0.61411,0.82241,0.6167,0.86109,0.000808828,0.000808828,0.000808828
28,3206.12,0.71778,0.45439,0.89308,0.74165,0.74779,0.78848,0.6086,0.81169,0.63635,0.85984,0.000775822,0.000775822,0.000775822
29,3326.69,0.7156,0.44882,0.89253,0.77145,0.74486,0.81039,0.62494,0.81265,0.59074,0.86077,0.000742815,0.000742815,0.000742815
30,3443.66,0.7169,0.44352,0.89196,0.79217,0.73577,0.80301,0.62236,0.81376,0.6131,0.85984,0.000709809,0.000709809,0.000709809
31,3555.82,0.7095,0.43927,0.89073,0.76327,0.7506,0.8007,0.62091,0.81212,0.61191,0.86057,0.000676802,0.000676802,0.000676802
32,3667.98,0.70601,0.43401,0.88747,0.75872,0.73506,0.78471,0.60625,0.81947,0.64291,0.86105,0.000643795,0.000643795,0.000643795
33,3780.98,0.69969,0.42818,0.88584,0.78356,0.74166,0.80673,0.6247,0.81087,0.59299,0.85944,0.000610789,0.000610789,0.000610789
34,3894.26,0.69915,0.42396,0.88561,0.78799,0.75378,0.8134,0.632,0.80794,0.58401,0.85974,0.000577782,0.000577782,0.000577782
35,4007.63,0.69063,0.418,0.88143,0.78083,0.75067,0.80757,0.62541,0.81352,0.59463,0.85976,0.000544776,0.000544776,0.000544776
36,4120.78,0.68708,0.41287,0.88112,0.78377,0.75163,0.81007,0.62536,0.81201,0.59254,0.86167,0.000511769,0.000511769,0.000511769
37,4234.08,0.67939,0.40483,0.87816,0.78686,0.74613,0.79961,0.6205,0.80888,0.60782,0.86494,0.000478762,0.000478762,0.000478762
38,4347.35,0.68084,0.40525,0.8783,0.77154,0.74996,0.80093,0.62146,0.8118,0.60975,0.86601,0.000445756,0.000445756,0.000445756
39,4460.1,0.66875,0.39638,0.87533,0.7837,0.74372,0.8009,0.62142,0.80721,0.6169,0.86412,0.000412749,0.000412749,0.000412749
40,4576.51,0.66739,0.39272,0.87358,0.78771,0.74674,0.80281,0.62381,0.80448,0.61254,0.86529,0.000379743,0.000379743,0.000379743
41,4694.1,0.66906,0.38027,0.86176,0.76966,0.75221,0.79894,0.61966,0.81101,0.61574,0.86552,0.000346736,0.000346736,0.000346736
42,4804.44,0.66252,0.3734,0.86053,0.77985,0.75189,0.80233,0.62309,0.81164,0.60871,0.8649,0.000313729,0.000313729,0.000313729
43,4915.01,0.65742,0.36913,0.85939,0.78385,0.7519,0.80402,0.62622,0.80894,0.59796,0.86727,0.000280723,0.000280723,0.000280723
44,5024.99,0.65219,0.36203,0.85751,0.78838,0.74156,0.80075,0.621,0.8165,0.60922,0.87037,0.000247716,0.000247716,0.000247716
45,5135.22,0.64985,0.35962,0.85628,0.79628,0.74093,0.79838,0.62067,0.81209,0.61202,0.86959,0.00021471,0.00021471,0.00021471
46,5246.27,0.64125,0.35237,0.85327,0.78864,0.74214,0.79612,0.61905,0.8139,0.61771,0.86976,0.000181703,0.000181703,0.000181703
47,5365.53,0.63356,0.3461,0.85001,0.77603,0.74713,0.79402,0.61631,0.81663,0.6261,0.87079,0.000148696,0.000148696,0.000148696
48,5491.68,0.62932,0.34267,0.8485,0.781,0.74619,0.79457,0.61627,0.81849,0.62988,0.87228,0.00011569,0.00011569,0.00011569
49,5614.57,0.62754,0.33984,0.84701,0.78093,0.75076,0.79921,0.61946,0.81885,0.62188,0.87191,8.26832e-05,8.26832e-05,8.26832e-05
50,5730.29,0.62248,0.33523,0.84651,0.78264,0.74996,0.80012,0.61988,0.82014,0.62408,0.87227,4.96766e-05,4.96766e-05,4.96766e-05
