epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.022,1.27573,1.26823,1.10573,0.60347,0.57375,0.58918,0.39056,1.24815,1.09807,0.98202,0.000554267,0.000554267,0.000554267
2,262.959,1.281,1.0872,1.10182,0.61664,0.64643,0.63392,0.41972,1.16502,0.99633,0.97362,0.00108796,0.00108796,0.00108796
3,392.829,1.24478,1.03711,1.08316,0.58825,0.68028,0.67801,0.4517,1.1102,0.94534,0.9549,0.00159964,0.00159964,0.00159964
4,521.617,1.20653,0.97718,1.06951,0.62743,0.62678,0.65999,0.41895,1.27476,0.98578,0.97391,0.00156798,0.00156798,0.00156798
5,652.038,1.15245,0.92142,1.04956,0.65397,0.66254,0.66933,0.46248,1.04551,0.91627,0.92349,0.00153497,0.00153497,0.00153497
6,787.709,1.12763,0.87635,1.03829,0.64582,0.70707,0.70892,0.50101,0.99586,0.82257,0.92402,0.00150197,0.00150197,0.00150197
7,917.491,1.13337,0.86742,1.03758,0.67504,0.68458,0.69387,0.4852,1.03792,0.82551,0.92822,0.00146896,0.00146896,0.00146896
8,1045.09,1.08576,0.83275,1.02386,0.60307,0.70934,0.71101,0.50018,1.00516,0.86707,0.91538,0.00143595,0.00143595,0.00143595
9,1172.59,1.08116,0.82315,1.02208,0.71791,0.69695,0.73817,0.535,0.94517,0.78722,0.91066,0.00140295,0.00140295,0.00140295
10,1300.46,1.06863,0.80332,1.01723,0.69221,0.68767,0.72852,0.52793,0.96329,0.78424,0.91571,0.00136994,0.00136994,0.00136994
11,1427.43,1.05417,0.78151,1.00909,0.69379,0.70988,0.74149,0.54786,0.91398,0.7437,0.89462,0.00133693,0.00133693,0.00133693
12,1554.57,1.03569,0.76139,1.00119,0.68198,0.71757,0.74106,0.5411,0.91846,0.75935,0.89797,0.00130393,0.00130393,0.00130393
13,1681.4,1.03738,0.76546,1.00076,0.72459,0.73524,0.77191,0.57534,0.87744,0.6944,0.89124,0.00127092,0.00127092,0.00127092
