epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.229,1.51592,1.73633,1.0906,0.57118,0.58672,0.54782,0.3285,1.3644,1.26115,0.95385,0.000554267,0.000554267,0.000554267
2,46.4239,1.36627,1.23407,1.03443,0.53856,0.61936,0.59238,0.36918,1.29128,1.14632,0.95968,0.00108796,0.00108796,0.00108796
3,67.8168,1.33885,1.14179,1.02995,0.52984,0.6205,0.52943,0.33495,1.24047,1.1478,0.94643,0.00159964,0.00159964,0.00159964
4,89.0964,1.2954,1.0663,1.01764,0.60744,0.63027,0.619,0.41675,1.21221,1.02674,0.92675,0.00156798,0.00156798,0.00156798
5,110.119,1.2466,1.028,1.00436,0.61822,0.61626,0.61217,0.41329,1.19395,1.04525,0.92102,0.00153497,0.00153497,0.00153497
6,132.012,1.22949,0.98488,0.99887,0.61217,0.66902,0.66372,0.45143,1.12465,0.92174,0.91306,0.00150197,0.00150197,0.00150197
7,154.809,1.22349,0.97127,0.99386,0.63949,0.65503,0.66766,0.47065,1.07385,0.89019,0.90557,0.00146896,0.00146896,0.00146896
8,177.797,1.18376,0.93531,0.98758,0.52088,0.67297,0.6342,0.421,1.13161,1.17613,0.91138,0.00143595,0.00143595,0.00143595
9,198.959,1.17253,0.92463,0.98317,0.56789,0.68283,0.62244,0.41859,1.09766,1.00679,0.91377,0.00140295,0.00140295,0.00140295
10,222.046,1.16336,0.90886,0.98369,0.66282,0.68244,0.70682,0.49629,1.05219,0.83863,0.8966,0.00136994,0.00136994,0.00136994
11,244.57,1.15665,0.89869,0.97766,0.59074,0.67691,0.66392,0.46246,1.05026,0.93086,0.89682,0.00133693,0.00133693,0.00133693
12,266.291,1.14051,0.87403,0.97233,0.6662,0.64228,0.68437,0.48998,1.01547,0.86279,0.89183,0.00130393,0.00130393,0.00130393
13,288.032,1.14196,0.87053,0.97192,0.67921,0.66606,0.69318,0.49435,1.01402,0.85742,0.89247,0.00127092,0.00127092,0.00127092
14,309.592,1.13042,0.85053,0.97,0.68847,0.66776,0.70322,0.49586,1.06698,0.84654,0.89311,0.00123791,0.00123791,0.00123791
15,331.176,1.1238,0.84548,0.97032,0.70352,0.68502,0.73023,0.52162,0.99425,0.78853,0.88352,0.00120491,0.00120491,0.00120491
16,352.646,1.10143,0.81946,0.9625,0.67482,0.68516,0.69942,0.50386,1.002,0.8175,0.88816,0.0011719,0.0011719,0.0011719
17,374.878,1.10449,0.81151,0.96491,0.67671,0.69235,0.72169,0.51438,1.01438,0.8089,0.8834,0.00113889,0.00113889,0.00113889
18,398.659,1.09838,0.80169,0.9587,0.68062,0.67823,0.70666,0.50773,0.98868,0.81128,0.88469,0.00110589,0.00110589,0.00110589
19,421.842,1.08414,0.79728,0.95787,0.69795,0.67014,0.71553,0.52007,0.99236,0.8042,0.8841,0.00107288,0.00107288,0.00107288
20,444.96,1.08831,0.78893,0.95553,0.68983,0.70675,0.74167,0.54159,0.95673,0.75813,0.87774,0.00103987,0.00103987,0.00103987
21,466.404,1.0841,0.78344,0.95683,0.69284,0.69968,0.72807,0.53179,0.96581,0.77655,0.8791,0.00100687,0.00100687,0.00100687
22,488.235,1.08903,0.78423,0.95741,0.67569,0.68851,0.71165,0.51756,0.96825,0.79977,0.88437,0.000973861,0.000973861,0.000973861
23,509.916,1.071,0.76694,0.9556,0.68825,0.68203,0.73227,0.5302,0.98129,0.77388,0.87951,0.000940855,0.000940855,0.000940855
24,532.241,1.06077,0.75675,0.94957,0.7,0.70986,0.73921,0.54143,0.93596,0.75189,0.8753,0.000907848,0.000907848,0.000907848
25,553.827,1.06037,0.75875,0.95011,0.6962,0.70684,0.74052,0.53999,0.95208,0.74246,0.87617,0.000874842,0.000874842,0.000874842
26,575.697,1.04961,0.7439,0.94935,0.72157,0.69466,0.73038,0.53376,0.95896,0.78255,0.87439,0.000841835,0.000841835,0.000841835
27,597.774,1.04699,0.73469,0.94448,0.67858,0.6851,0.71192,0.52072,0.94064,0.77979,0.87926,0.000808828,0.000808828,0.000808828
28,621.091,1.0388,0.7317,0.94327,0.71914,0.68921,0.73526,0.54245,0.93271,0.7607,0.87213,0.000775822,0.000775822,0.000775822
29,644.274,1.04802,0.72912,0.94197,0.69137,0.68251,0.70828,0.52162,0.94075,0.80733,0.87737,0.000742815,0.000742815,0.000742815
30,666.781,1.03375,0.71705,0.94162,0.71102,0.69152,0.73416,0.54136,0.94437,0.74816,0.8766,0.000709809,0.000709809,0.000709809
31,687.732,1.02783,0.70912,0.93721,0.70322,0.68642,0.73647,0.54184,0.94191,0.76143,0.8721,0.000676802,0.000676802,0.000676802
32,710.596,1.01863,0.70615,0.93778,0.72836,0.69169,0.73811,0.55036,0.91514,0.74878,0.87234,0.000643795,0.000643795,0.000643795
33,732.653,1.02657,0.69583,0.93613,0.71178,0.69378,0.72639,0.53652,0.93727,0.77644,0.87909,0.000610789,0.000610789,0.000610789
34,754.336,1.02093,0.70244,0.93804,0.69993,0.69827,0.73703,0.54125,0.93752,0.75573,0.87624,0.000577782,0.000577782,0.000577782
35,775.421,1.01467,0.68579,0.9325,0.72703,0.68969,0.73445,0.54132,0.93679,0.75788,0.87327,0.000544776,0.000544776,0.000544776
36,798.014,1.01447,0.68539,0.93639,0.73118,0.69122,0.74083,0.55127,0.92705,0.74675,0.87,0.000511769,0.000511769,0.000511769
37,819.817,1.00783,0.68257,0.93417,0.73619,0.69291,0.74366,0.55597,0.90819,0.73971,0.87037,0.000478762,0.000478762,0.000478762
38,842.188,1.00476,0.67245,0.93334,0.72729,0.70098,0.75395,0.55743,0.92739,0.72186,0.87117,0.000445756,0.000445756,0.000445756
39,863.749,0.9884,0.66481,0.92924,0.72252,0.70509,0.75577,0.5584,0.92655,0.70886,0.8727,0.000412749,0.000412749,0.000412749
40,885.069,0.9909,0.65657,0.92731,0.72561,0.70819,0.7572,0.56447,0.91262,0.70624,0.86901,0.000379743,0.000379743,0.000379743
41,913.938,0.96446,0.63192,0.90955,0.70437,0.70917,0.7447,0.55362,0.91875,0.73892,0.86876,0.000346736,0.000346736,0.000346736
42,934.82,0.95376,0.61524,0.90721,0.72937,0.69285,0.7347,0.54845,0.92468,0.76311,0.86993,0.000313729,0.000313729,0.000313729
43,955.892,0.94641,0.61272,0.90268,0.7112,0.70741,0.74564,0.5569,0.91236,0.72961,0.86923,0.000280723,0.000280723,0.000280723
44,976.781,0.94703,0.60307,0.90325,0.71483,0.70171,0.74586,0.5562,0.9167,0.73215,0.8725,0.000247716,0.000247716,0.000247716
45,997.964,0.94235,0.60635,0.90244,0.72301,0.703,0.744,0.55724,0.90881,0.72548,0.87159,0.00021471,0.00021471,0.00021471
46,1018.88,0.93534,0.59507,0.8987,0.70905,0.71156,0.74742,0.55936,0.90828,0.7331,0.87024,0.000181703,0.000181703,0.000181703
47,1040.13,0.93587,0.59128,0.89823,0.72383,0.70866,0.74576,0.56095,0.91195,0.73791,0.87066,0.000148696,0.000148696,0.000148696
