epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.2874,1.2834,1.30205,1.07124,0.65041,0.56385,0.5712,0.38699,1.20847,1.09578,0.96381,0.000554267,0.000554267,0.000554267
2,117.498,1.26552,1.07363,1.05981,0.52976,0.65833,0.5866,0.38062,1.16215,1.11174,0.94824,0.00108796,0.00108796,0.00108796
3,174.744,1.2422,1.03125,1.0486,0.65343,0.6762,0.68728,0.46701,1.08957,0.91085,0.92779,0.00159964,0.00159964,0.00159964
4,231.593,1.20111,0.97668,1.03623,0.67626,0.58501,0.62998,0.42287,1.15422,1.09064,0.93039,0.00156798,0.00156798,0.00156798
5,288.834,1.1584,0.92667,1.01913,0.65127,0.64591,0.66634,0.47528,1.02493,0.93405,0.91791,0.00153497,0.00153497,0.00153497
6,346.886,1.13752,0.89145,1.01356,0.6054,0.69392,0.70507,0.48109,1.0632,0.87934,0.92136,0.00150197,0.00150197,0.00150197
7,403.722,1.12757,0.86687,1.00643,0.61356,0.67198,0.65164,0.4542,1.01673,0.87544,0.92558,0.00146896,0.00146896,0.00146896
8,461.113,1.08846,0.83873,0.99633,0.56236,0.68457,0.67955,0.47426,1.01461,0.96939,0.90318,0.00143595,0.00143595,0.00143595
9,521.26,1.0831,0.82326,0.99284,0.70524,0.69787,0.73576,0.5284,0.96362,0.7832,0.89736,0.00140295,0.00140295,0.00140295
10,582.354,1.06783,0.81168,0.99082,0.61391,0.71098,0.71152,0.51039,0.93076,0.83874,0.88569,0.00136994,0.00136994,0.00136994
11,642.849,1.06433,0.79556,0.98358,0.59442,0.69081,0.69107,0.49929,0.93854,0.8949,0.88327,0.00133693,0.00133693,0.00133693
12,704.054,1.04513,0.76859,0.97891,0.6611,0.71958,0.75097,0.54354,0.91825,0.7655,0.88696,0.00130393,0.00130393,0.00130393
13,763.146,1.04265,0.76415,0.97649,0.72878,0.71331,0.76088,0.5645,0.91895,0.72247,0.88157,0.00127092,0.00127092,0.00127092
14,819.963,1.02872,0.74414,0.9742,0.7366,0.71017,0.76103,0.56392,0.88106,0.71122,0.8767,0.00123791,0.00123791,0.00123791
15,876.771,1.02981,0.74686,0.97471,0.69271,0.71032,0.75744,0.5575,0.88799,0.7451,0.87454,0.00120491,0.00120491,0.00120491
16,935.268,1.00938,0.72527,0.96604,0.73964,0.71417,0.76157,0.56539,0.90218,0.71068,0.88238,0.0011719,0.0011719,0.0011719
17,992.089,1.00948,0.70908,0.9682,0.63075,0.7303,0.74326,0.54215,0.91017,0.80723,0.87995,0.00113889,0.00113889,0.00113889
18,1048.83,1.0067,0.70096,0.96256,0.67079,0.70318,0.71869,0.52897,0.90509,0.80106,0.89338,0.00110589,0.00110589,0.00110589
19,1108.45,0.99381,0.69679,0.96152,0.74177,0.73812,0.78789,0.59425,0.87602,0.65656,0.87461,0.00107288,0.00107288,0.00107288
20,1168.98,0.99137,0.68709,0.95654,0.66499,0.73231,0.7527,0.55867,0.87785,0.74416,0.87727,0.00103987,0.00103987,0.00103987
21,1230.64,0.98555,0.6848,0.95686,0.75872,0.7168,0.78274,0.59103,0.86272,0.66396,0.87256,0.00100687,0.00100687,0.00100687
22,1290.85,0.99252,0.67704,0.95839,0.72746,0.73489,0.77889,0.58725,0.85961,0.67598,0.87073,0.000973861,0.000973861,0.000973861
23,1351.32,0.96653,0.65821,0.95138,0.67953,0.73593,0.7787,0.57713,0.88972,0.71922,0.87106,0.000940855,0.000940855,0.000940855
24,1408.39,0.96208,0.65509,0.9481,0.74166,0.71903,0.77257,0.58258,0.85009,0.6726,0.87185,0.000907848,0.000907848,0.000907848
25,1465.09,0.96298,0.65052,0.9486,0.76301,0.72484,0.7803,0.58764,0.85791,0.66097,0.8719,0.000874842,0.000874842,0.000874842
26,1521.95,0.95086,0.63952,0.94598,0.75074,0.73461,0.78249,0.5942,0.85236,0.64651,0.86753,0.000841835,0.000841835,0.000841835
27,1580.16,0.94738,0.6269,0.94247,0.72865,0.73386,0.78489,0.59895,0.8306,0.63709,0.87247,0.000808828,0.000808828,0.000808828
