epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.7651,1.17758,1.17012,1.04373,0.56561,0.64238,0.60971,0.39239,1.17981,1.08143,0.93671,0.000554456,0.000554456,0.000554456
2,135.459,1.15388,0.98387,1.03293,0.60326,0.64952,0.65812,0.43673,1.11131,0.96854,0.93589,0.00108814,0.00108814,0.00108814
3,201.581,1.14266,0.93877,1.02882,0.62521,0.67752,0.68018,0.46281,1.09197,0.88509,0.93171,0.00159982,0.00159982,0.00159982
4,267.466,1.09161,0.90092,1.01178,0.52262,0.69499,0.66324,0.45179,1.04691,1.02079,0.92945,0.00156798,0.00156798,0.00156798
5,332.977,1.05897,0.8475,1.00169,0.64151,0.69766,0.71497,0.49048,1.02923,0.86693,0.91244,0.00153497,0.00153497,0.00153497
6,398.414,1.04189,0.81118,0.99346,0.60658,0.69611,0.69903,0.49004,1.01398,0.82648,0.90542,0.00150197,0.00150197,0.00150197
7,464.242,1.02406,0.77835,0.98465,0.65879,0.681,0.69411,0.49602,1.01453,0.83967,0.91531,0.00146896,0.00146896,0.00146896
8,530.244,1.00768,0.75765,0.97921,0.69618,0.72079,0.76625,0.55498,0.94645,0.72074,0.89842,0.00143595,0.00143595,0.00143595
9,596.018,0.98555,0.74529,0.97097,0.71571,0.72538,0.77149,0.56851,0.92095,0.69341,0.88324,0.00140295,0.00140295,0.00140295
10,664.604,0.97726,0.73249,0.97148,0.6603,0.69234,0.73596,0.53876,0.92333,0.76709,0.89002,0.00136994,0.00136994,0.00136994
11,731.206,0.96121,0.70663,0.96205,0.69248,0.72467,0.76394,0.56226,0.90521,0.70492,0.88277,0.00133693,0.00133693,0.00133693
12,797.054,0.95721,0.69792,0.96253,0.72007,0.73121,0.77212,0.57318,0.89668,0.70009,0.88012,0.00130393,0.00130393,0.00130393
13,863.489,0.94622,0.6921,0.95996,0.69602,0.67085,0.69289,0.50941,0.91803,0.95314,0.88415,0.00127092,0.00127092,0.00127092
14,929.6,0.92802,0.67087,0.95146,0.71678,0.71398,0.73825,0.54731,0.8996,0.74498,0.88092,0.00123791,0.00123791,0.00123791
15,995.492,0.93499,0.66361,0.94885,0.69375,0.72344,0.74975,0.55183,0.90258,0.73185,0.8767,0.00120491,0.00120491,0.00120491
16,1062.37,0.92174,0.65161,0.94858,0.71913,0.73323,0.77703,0.58384,0.85375,0.67589,0.87406,0.0011719,0.0011719,0.0011719
17,1129.17,0.91591,0.64606,0.94565,0.73235,0.71709,0.77603,0.57931,0.87542,0.6713,0.87475,0.00113889,0.00113889,0.00113889
18,1195.93,0.91181,0.63826,0.94346,0.72674,0.69991,0.75181,0.56317,0.87411,0.72918,0.88037,0.00110589,0.00110589,0.00110589
19,1263.88,0.90491,0.62746,0.94101,0.70981,0.71931,0.75596,0.57415,0.85342,0.71095,0.8763,0.00107288,0.00107288,0.00107288
20,1330.54,0.89408,0.61484,0.94077,0.73419,0.7212,0.76986,0.57739,0.87384,0.68234,0.87672,0.00103987,0.00103987,0.00103987
21,1397.47,0.89789,0.60831,0.93679,0.71493,0.73454,0.77389,0.58714,0.85555,0.66251,0.87765,0.00100687,0.00100687,0.00100687
22,1464.36,0.8894,0.60546,0.93346,0.75995,0.70873,0.76036,0.58226,0.83922,0.69913,0.87091,0.000973861,0.000973861,0.000973861
23,1531.06,0.88326,0.59619,0.9318,0.72488,0.72706,0.76571,0.58364,0.85306,0.67034,0.87085,0.000940855,0.000940855,0.000940855
24,1599.83,0.87854,0.58743,0.92879,0.71899,0.73445,0.78284,0.59162,0.85384,0.67333,0.87028,0.000907848,0.000907848,0.000907848
