epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.875,1.28228,1.19465,1.08001,0.59563,0.61437,0.61115,0.42504,1.12023,1.20147,0.94833,0.000554966,0.000554966,0.000554966
2,227.138,1.25254,1.02558,1.06951,0.59878,0.62031,0.60999,0.42367,1.11723,1.09181,0.93902,0.00108864,0.00108864,0.00108864
3,338.286,1.21481,0.96638,1.05584,0.65563,0.66036,0.68112,0.47738,1.03805,0.87766,0.91586,0.00160031,0.00160031,0.00160031
4,448.353,1.17903,0.91401,1.03979,0.66053,0.69072,0.72994,0.51854,1.02762,0.78666,0.90391,0.00156798,0.00156798,0.00156798
5,558.764,1.14643,0.8708,1.02734,0.67662,0.70474,0.72704,0.51785,0.98157,0.78409,0.89075,0.00153497,0.00153497,0.00153497
6,668.653,1.12527,0.84879,1.01797,0.63986,0.71048,0.72524,0.51535,0.97605,0.8403,0.89585,0.00150197,0.00150197,0.00150197
7,778.82,1.10142,0.81092,1.00942,0.7216,0.6964,0.73923,0.55086,0.90414,0.72473,0.8844,0.00146896,0.00146896,0.00146896
8,889.024,1.07996,0.78517,1.00279,0.64213,0.71492,0.73374,0.53773,0.92203,0.77299,0.88581,0.00143595,0.00143595,0.00143595
9,999.048,1.06694,0.76682,0.99821,0.71264,0.70058,0.76057,0.55796,0.91033,0.71552,0.87889,0.00140295,0.00140295,0.00140295
10,1109.18,1.0597,0.75278,0.99368,0.72258,0.69701,0.75701,0.54914,0.94253,0.73457,0.88006,0.00136994,0.00136994,0.00136994
11,1219.6,1.04839,0.74115,0.98843,0.67861,0.71359,0.7462,0.54614,0.91242,0.77335,0.87706,0.00133693,0.00133693,0.00133693
12,1329.54,1.04032,0.72232,0.98457,0.7538,0.69186,0.76391,0.56187,0.90164,0.7057,0.88295,0.00130393,0.00130393,0.00130393
13,1439.92,1.03173,0.71379,0.98304,0.70495,0.70949,0.77102,0.57738,0.86276,0.67934,0.87303,0.00127092,0.00127092,0.00127092
14,1550.2,1.02275,0.69894,0.97688,0.73201,0.71749,0.77734,0.58519,0.86483,0.65461,0.87163,0.00123791,0.00123791,0.00123791
15,1660.76,1.0063,0.68238,0.97193,0.68297,0.72565,0.75867,0.56577,0.87757,0.71605,0.87371,0.00120491,0.00120491,0.00120491
16,1771.63,1.00215,0.67664,0.97126,0.72351,0.7212,0.77264,0.58066,0.85245,0.67149,0.87036,0.0011719,0.0011719,0.0011719
17,1882.6,0.99528,0.66646,0.96559,0.74541,0.7304,0.77694,0.58545,0.84797,0.6652,0.86823,0.00113889,0.00113889,0.00113889
18,1993.46,0.99629,0.65921,0.96428,0.74666,0.72633,0.78351,0.60035,0.82245,0.63734,0.86429,0.00110589,0.00110589,0.00110589
19,2103.91,0.982,0.64656,0.96398,0.74933,0.7226,0.78942,0.59565,0.84561,0.64293,0.86729,0.00107288,0.00107288,0.00107288
20,2213.95,0.97323,0.63279,0.95603,0.74931,0.72987,0.7838,0.59666,0.83958,0.65103,0.87214,0.00103987,0.00103987,0.00103987
21,2324.11,0.96644,0.62771,0.95482,0.75793,0.72071,0.78089,0.59893,0.82903,0.6561,0.86528,0.00100687,0.00100687,0.00100687
22,2434.3,0.96206,0.62246,0.95364,0.74025,0.72576,0.78263,0.59733,0.83153,0.64683,0.86582,0.000973861,0.000973861,0.000973861
23,2544.26,0.95276,0.61299,0.94794,0.75675,0.72109,0.7845,0.60003,0.8246,0.6406,0.86736,0.000940855,0.000940855,0.000940855
24,2654.38,0.94794,0.59963,0.94705,0.75172,0.73106,0.78377,0.59712,0.84014,0.64415,0.86935,0.000907848,0.000907848,0.000907848
25,2764.23,0.94169,0.59531,0.94485,0.73184,0.73404,0.78155,0.60135,0.8153,0.63792,0.86629,0.000874842,0.000874842,0.000874842
26,2874.46,0.93464,0.59069,0.94059,0.76372,0.73374,0.78323,0.60132,0.82273,0.64768,0.86526,0.000841835,0.000841835,0.000841835
27,2984.36,0.9305,0.58374,0.93943,0.75095,0.72148,0.77789,0.59599,0.82278,0.66297,0.86856,0.000808828,0.000808828,0.000808828
28,3094.15,0.92169,0.57373,0.93589,0.77123,0.72991,0.78349,0.60187,0.8224,0.65171,0.8685,0.000775822,0.000775822,0.000775822
29,3204.23,0.91656,0.56581,0.93494,0.76874,0.74078,0.77016,0.60153,0.82462,0.61107,0.86731,0.000742815,0.000742815,0.000742815
30,3314.49,0.92032,0.56072,0.93502,0.77057,0.72059,0.77879,0.59877,0.83031,0.66544,0.86771,0.000709809,0.000709809,0.000709809
31,3424.47,0.90569,0.55234,0.93114,0.7714,0.72417,0.77526,0.59555,0.83529,0.68047,0.86788,0.000676802,0.000676802,0.000676802
32,3534.49,0.90317,0.54498,0.92709,0.75664,0.72123,0.77332,0.59288,0.83291,0.68507,0.87047,0.000643795,0.000643795,0.000643795
33,3644.6,0.89713,0.53929,0.92583,0.77638,0.72683,0.77912,0.60028,0.82449,0.66345,0.87112,0.000610789,0.000610789,0.000610789
34,3754.88,0.89352,0.53362,0.9245,0.77332,0.72291,0.78039,0.59905,0.82936,0.67088,0.87021,0.000577782,0.000577782,0.000577782
35,3864.92,0.8863,0.52855,0.92034,0.76062,0.72952,0.77589,0.59522,0.82691,0.67138,0.86918,0.000544776,0.000544776,0.000544776
36,3975.03,0.87716,0.51897,0.91898,0.75753,0.74141,0.77746,0.59741,0.82333,0.67193,0.8674,0.000511769,0.000511769,0.000511769
37,4085.23,0.87233,0.51345,0.91627,0.77269,0.73752,0.78567,0.60666,0.81685,0.65084,0.8662,0.000478762,0.000478762,0.000478762
38,4195.41,0.86926,0.51066,0.9139,0.76303,0.74782,0.78465,0.59983,0.83337,0.66366,0.86864,0.000445756,0.000445756,0.000445756
39,4305.59,0.85423,0.49967,0.91089,0.77204,0.73502,0.78279,0.60175,0.82623,0.66682,0.8695,0.000412749,0.000412749,0.000412749
40,4415.88,0.8519,0.49475,0.90733,0.77144,0.7414,0.78678,0.6055,0.82175,0.66181,0.86976,0.000379743,0.000379743,0.000379743
41,4532.3,0.83779,0.46978,0.89409,0.77653,0.74621,0.78974,0.60795,0.83104,0.64039,0.87261,0.000346736,0.000346736,0.000346736
42,4650.43,0.82956,0.46229,0.89097,0.79242,0.7376,0.78961,0.60898,0.83049,0.64689,0.87082,0.000313729,0.000313729,0.000313729
43,4767.8,0.82307,0.45645,0.88951,0.78046,0.74349,0.78888,0.60996,0.82502,0.64922,0.87044,0.000280723,0.000280723,0.000280723
44,4878.99,0.81511,0.44848,0.88676,0.77923,0.74521,0.78639,0.60881,0.82872,0.65438,0.87232,0.000247716,0.000247716,0.000247716
45,4995.1,0.80855,0.4447,0.88295,0.78868,0.73466,0.7818,0.60316,0.83083,0.66733,0.87175,0.00021471,0.00021471,0.00021471
46,5112.89,0.80018,0.43709,0.88001,0.77684,0.73449,0.78089,0.60176,0.82983,0.68279,0.87304,0.000181703,0.000181703,0.000181703
47,5229.19,0.79315,0.43062,0.8771,0.77635,0.73605,0.78187,0.60315,0.83388,0.67518,0.87452,0.000148696,0.000148696,0.000148696
48,5349.42,0.78783,0.42465,0.87398,0.77829,0.73332,0.78358,0.6046,0.83117,0.67239,0.87343,0.00011569,0.00011569,0.00011569
49,5465.98,0.78356,0.42183,0.87352,0.77841,0.74004,0.78477,0.60552,0.83487,0.66662,0.87513,8.26832e-05,8.26832e-05,8.26832e-05
50,5580.31,0.77658,0.41613,0.8718,0.77928,0.73916,0.78434,0.60622,0.83539,0.67025,0.87574,4.96766e-05,4.96766e-05,4.96766e-05
