epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.553,0.81874,0.7965,0.95444,0.63849,0.65002,0.67734,0.45965,1.09532,0.91389,0.91542,0.000554966,0.000554966,0.000554966
2,229.856,0.79272,0.6516,0.94047,0.58084,0.70682,0.7055,0.48771,1.07682,0.8875,0.92223,0.00108864,0.00108864,0.00108864
3,342.274,0.76219,0.61036,0.92995,0.68011,0.68202,0.70201,0.4976,1.03461,0.81284,0.90379,0.00160031,0.00160031,0.00160031
4,453.283,0.74271,0.58245,0.92128,0.6237,0.69288,0.73632,0.52864,1.00532,0.80022,0.89288,0.00156798,0.00156798,0.00156798
5,565.301,0.72106,0.55482,0.9138,0.68174,0.68538,0.71142,0.50856,0.98,1.00625,0.88534,0.00153497,0.00153497,0.00153497
6,676.181,0.70755,0.53555,0.90872,0.70505,0.70007,0.75726,0.54903,0.94619,0.73208,0.8844,0.00150197,0.00150197,0.00150197
7,787.251,0.68877,0.51215,0.90359,0.70287,0.71312,0.74762,0.55503,0.91241,0.72255,0.88006,0.00146896,0.00146896,0.00146896
8,898.079,0.68134,0.50162,0.90162,0.67097,0.70291,0.74024,0.53265,0.93984,0.78402,0.8865,0.00143595,0.00143595,0.00143595
9,1008.77,0.67184,0.48904,0.89647,0.67298,0.70759,0.759,0.55427,0.91209,0.74982,0.87491,0.00140295,0.00140295,0.00140295
10,1127.34,0.66909,0.48287,0.89523,0.72334,0.72916,0.762,0.56582,0.88704,0.70122,0.87233,0.00136994,0.00136994,0.00136994
11,1251.63,0.66194,0.47752,0.89395,0.74258,0.72949,0.77638,0.58427,0.87896,0.66231,0.87117,0.00133693,0.00133693,0.00133693
12,1375.72,0.65919,0.46701,0.89238,0.72079,0.70893,0.76512,0.56841,0.8872,0.69113,0.87078,0.00130393,0.00130393,0.00130393
13,1499.93,0.65406,0.46001,0.89085,0.73024,0.71591,0.77217,0.58411,0.85587,0.67421,0.86934,0.00127092,0.00127092,0.00127092
14,1624.14,0.65103,0.45265,0.88908,0.74385,0.72046,0.77197,0.58449,0.87744,0.65592,0.87172,0.00123791,0.00123791,0.00123791
15,1738.39,0.64026,0.44336,0.88519,0.7433,0.7332,0.78954,0.60306,0.8387,0.63303,0.86152,0.00120491,0.00120491,0.00120491
16,1849.42,0.64125,0.44214,0.88604,0.69126,0.73781,0.77598,0.58432,0.85486,0.68468,0.86306,0.0011719,0.0011719,0.0011719
17,1960.26,0.6306,0.43191,0.88079,0.74797,0.75006,0.79865,0.61196,0.83499,0.62516,0.85808,0.00113889,0.00113889,0.00113889
18,2071.39,0.63292,0.42706,0.88106,0.7319,0.72813,0.77506,0.58581,0.84606,0.68039,0.86405,0.00110589,0.00110589,0.00110589
19,2182.3,0.62352,0.42069,0.87984,0.74504,0.72726,0.78617,0.59914,0.83107,0.64112,0.86397,0.00107288,0.00107288,0.00107288
20,2293.06,0.62089,0.41369,0.87787,0.74244,0.73727,0.78811,0.60034,0.83609,0.63336,0.86892,0.00103987,0.00103987,0.00103987
21,2404.04,0.61837,0.412,0.87784,0.75756,0.73212,0.78258,0.60172,0.8307,0.64672,0.86306,0.00100687,0.00100687,0.00100687
22,2514.95,0.61563,0.40745,0.87679,0.73452,0.72334,0.77712,0.59413,0.83439,0.6504,0.86553,0.000973861,0.000973861,0.000973861
23,2625.69,0.60875,0.40047,0.87299,0.73333,0.73189,0.77934,0.59734,0.82372,0.65267,0.86166,0.000940855,0.000940855,0.000940855
24,2736.59,0.60647,0.39459,0.87299,0.76079,0.73888,0.79006,0.60478,0.82508,0.63092,0.85913,0.000907848,0.000907848,0.000907848
25,2847.41,0.60413,0.39021,0.87105,0.76349,0.7414,0.79703,0.61226,0.82467,0.61163,0.86379,0.000874842,0.000874842,0.000874842
26,2958.47,0.60138,0.38815,0.87051,0.75481,0.74834,0.79071,0.60687,0.82458,0.63009,0.85922,0.000841835,0.000841835,0.000841835
27,3069.31,0.60065,0.38535,0.86988,0.74432,0.75585,0.80481,0.62178,0.82455,0.59036,0.86212,0.000808828,0.000808828,0.000808828
28,3180.11,0.5927,0.37864,0.86735,0.77249,0.72987,0.78589,0.60676,0.8185,0.63216,0.8612,0.000775822,0.000775822,0.000775822
29,3290.88,0.5901,0.37436,0.86623,0.76,0.72631,0.79163,0.61081,0.81253,0.62394,0.85672,0.000742815,0.000742815,0.000742815
30,3401.91,0.59157,0.37136,0.86566,0.78114,0.74224,0.8008,0.6189,0.81079,0.60187,0.85408,0.000709809,0.000709809,0.000709809
31,3512.74,0.58631,0.36764,0.865,0.76046,0.73452,0.7903,0.6116,0.82208,0.62356,0.85864,0.000676802,0.000676802,0.000676802
32,3623.68,0.58373,0.36305,0.86279,0.76873,0.74352,0.79702,0.61551,0.82303,0.61605,0.85907,0.000643795,0.000643795,0.000643795
33,3734.56,0.57986,0.35861,0.86097,0.78709,0.73907,0.8015,0.61786,0.82119,0.59977,0.85968,0.000610789,0.000610789,0.000610789
34,3845.53,0.57906,0.35515,0.86118,0.76387,0.74373,0.7977,0.61427,0.8237,0.61293,0.86005,0.000577782,0.000577782,0.000577782
35,3956.61,0.57253,0.35168,0.85797,0.78088,0.73044,0.79854,0.61667,0.81978,0.606,0.86026,0.000544776,0.000544776,0.000544776
36,4067.27,0.57153,0.34645,0.85851,0.77758,0.73871,0.79573,0.61357,0.81578,0.60839,0.85915,0.000511769,0.000511769,0.000511769
37,4178.28,0.56465,0.34123,0.85614,0.7842,0.73894,0.79672,0.61479,0.81457,0.6145,0.86012,0.000478762,0.000478762,0.000478762
38,4289.17,0.56471,0.33946,0.85481,0.75615,0.73825,0.78982,0.61023,0.8186,0.62345,0.86152,0.000445756,0.000445756,0.000445756
39,4400.23,0.55752,0.33433,0.85377,0.77707,0.73793,0.79849,0.61505,0.82291,0.6099,0.86316,0.000412749,0.000412749,0.000412749
40,4510.97,0.55545,0.33071,0.85231,0.76061,0.73949,0.79707,0.61372,0.81828,0.61387,0.86224,0.000379743,0.000379743,0.000379743
41,4627.34,0.56285,0.32469,0.84255,0.76393,0.74528,0.797,0.61432,0.82735,0.61179,0.86513,0.000346736,0.000346736,0.000346736
42,4736.83,0.55824,0.31917,0.84015,0.78753,0.73335,0.79306,0.61359,0.8264,0.61413,0.86448,0.000313729,0.000313729,0.000313729
43,4846.29,0.55306,0.31368,0.83866,0.77431,0.73926,0.79238,0.61474,0.82471,0.61089,0.86507,0.000280723,0.000280723,0.000280723
44,4955.94,0.54919,0.30894,0.83768,0.78639,0.73466,0.78895,0.60886,0.82541,0.62357,0.86618,0.000247716,0.000247716,0.000247716
45,5065.4,0.54643,0.30635,0.83665,0.78159,0.73659,0.79578,0.61481,0.82641,0.60791,0.86447,0.00021471,0.00021471,0.00021471
46,5174.97,0.53957,0.30067,0.83329,0.77268,0.73685,0.79306,0.61406,0.829,0.6209,0.86658,0.000181703,0.000181703,0.000181703
47,5284.47,0.53352,0.29615,0.83207,0.79076,0.7245,0.79264,0.61376,0.83376,0.62299,0.87021,0.000148696,0.000148696,0.000148696
48,5393.96,0.53026,0.29169,0.82981,0.78948,0.73195,0.79006,0.61247,0.83291,0.62498,0.87028,0.00011569,0.00011569,0.00011569
49,5503.47,0.52938,0.28998,0.82935,0.79579,0.73061,0.78942,0.61223,0.83262,0.62728,0.87003,8.26832e-05,8.26832e-05,8.26832e-05
50,5615.47,0.52416,0.28566,0.82782,0.7961,0.72469,0.78913,0.61147,0.8325,0.62966,0.86975,4.96766e-05,4.96766e-05,4.96766e-05
