epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.5929,0.98235,1.10138,0.97314,0.4839,0.61567,0.50288,0.31138,1.26497,1.27872,0.94838,0.000554966,0.000554966,0.000554966
2,84.4888,0.87249,0.74565,0.93841,0.53913,0.62338,0.56,0.37195,1.22538,1.10732,0.93498,0.00108864,0.00108864,0.00108864
3,124.912,0.84425,0.68727,0.93089,0.6013,0.61548,0.59351,0.39874,1.17663,1.06481,0.92155,0.00160031,0.00160031,0.00160031
4,164.705,0.82501,0.66199,0.92614,0.56071,0.64258,0.62528,0.4115,1.23004,1.0074,0.92699,0.00156798,0.00156798,0.00156798
5,204.67,0.80107,0.63247,0.91816,0.62272,0.6673,0.67098,0.46463,1.08339,0.88346,0.89502,0.00153497,0.00153497,0.00153497
6,244.475,0.78989,0.61799,0.91543,0.63495,0.672,0.6859,0.47459,1.07531,0.8663,0.89836,0.00150197,0.00150197,0.00150197
7,284.472,0.76818,0.59543,0.90966,0.66622,0.65639,0.6918,0.48634,1.07848,0.84077,0.8984,0.00146896,0.00146896,0.00146896
8,324.353,0.75751,0.57996,0.9072,0.6765,0.6754,0.70434,0.50842,0.99585,0.81033,0.88448,0.00143595,0.00143595,0.00143595
9,364.195,0.75351,0.56867,0.90486,0.63679,0.67844,0.70582,0.49728,1.04269,0.83247,0.88927,0.00140295,0.00140295,0.00140295
10,404.275,0.74674,0.56387,0.90317,0.67707,0.6657,0.70603,0.50043,1.02432,0.83072,0.88828,0.00136994,0.00136994,0.00136994
11,444.041,0.73721,0.55377,0.9016,0.70099,0.67805,0.72781,0.52214,0.99184,0.77075,0.88151,0.00133693,0.00133693,0.00133693
12,483.747,0.73648,0.54657,0.90032,0.68513,0.68683,0.71754,0.51191,0.99562,0.78731,0.88819,0.00130393,0.00130393,0.00130393
13,523.321,0.73422,0.54191,0.9006,0.69306,0.68087,0.71971,0.53,0.97417,0.78967,0.87996,0.00127092,0.00127092,0.00127092
14,562.902,0.73064,0.5353,0.89831,0.65164,0.68387,0.70226,0.50788,0.9969,0.80197,0.8869,0.00123791,0.00123791,0.00123791
15,602.61,0.71931,0.52552,0.89525,0.71369,0.68858,0.73048,0.53701,0.95619,0.76176,0.87448,0.00120491,0.00120491,0.00120491
16,642.208,0.71926,0.52315,0.8956,0.70126,0.68867,0.73031,0.53382,0.98175,0.77467,0.87719,0.0011719,0.0011719,0.0011719
17,681.953,0.71253,0.51441,0.89241,0.69923,0.69748,0.74073,0.53824,0.97205,0.75404,0.8777,0.00113889,0.00113889,0.00113889
18,721.691,0.71481,0.51121,0.89236,0.68824,0.70002,0.73328,0.53537,0.95763,0.76595,0.8771,0.00110589,0.00110589,0.00110589
19,761.257,0.70542,0.50526,0.89163,0.6964,0.69186,0.73087,0.53565,0.95447,0.74522,0.87703,0.00107288,0.00107288,0.00107288
20,801.261,0.70141,0.49809,0.8891,0.67634,0.70954,0.73499,0.536,0.94192,0.75752,0.87959,0.00103987,0.00103987,0.00103987
21,841.079,0.70046,0.49811,0.88993,0.69944,0.68816,0.72871,0.53995,0.93283,0.7617,0.86839,0.00100687,0.00100687,0.00100687
22,881.113,0.6939,0.48833,0.88817,0.70984,0.68172,0.7302,0.54103,0.93602,0.73952,0.8702,0.000973861,0.000973861,0.000973861
23,920.983,0.68998,0.48422,0.88555,0.70055,0.69439,0.7419,0.55098,0.91739,0.73182,0.8667,0.000940855,0.000940855,0.000940855
24,962.866,0.68739,0.47929,0.88612,0.69564,0.69643,0.72071,0.53195,0.92726,0.80887,0.87061,0.000907848,0.000907848,0.000907848
25,1005.79,0.68572,0.47445,0.88485,0.70231,0.69499,0.74972,0.55618,0.9286,0.72735,0.8706,0.000874842,0.000874842,0.000874842
26,1048.69,0.685,0.47564,0.88432,0.70315,0.70948,0.74671,0.54989,0.93789,0.73018,0.87003,0.000841835,0.000841835,0.000841835
27,1090.57,0.68382,0.47377,0.8843,0.72846,0.69049,0.73862,0.54489,0.92328,0.75038,0.86921,0.000808828,0.000808828,0.000808828
28,1131.55,0.67665,0.46682,0.88252,0.69977,0.70083,0.7387,0.54849,0.92992,0.73356,0.86942,0.000775822,0.000775822,0.000775822
29,1173.26,0.67549,0.46362,0.88175,0.69087,0.70085,0.74292,0.54898,0.92138,0.74537,0.86712,0.000742815,0.000742815,0.000742815
30,1213.46,0.67791,0.46103,0.88164,0.73135,0.70465,0.7492,0.55754,0.91003,0.73919,0.8629,0.000709809,0.000709809,0.000709809
31,1253.63,0.67477,0.45834,0.88105,0.68089,0.7095,0.73945,0.54788,0.91493,0.74579,0.8674,0.000676802,0.000676802,0.000676802
32,1295.4,0.67392,0.45384,0.87923,0.70446,0.70497,0.74502,0.55577,0.90788,0.73008,0.86555,0.000643795,0.000643795,0.000643795
33,1336.91,0.67084,0.45134,0.87839,0.71108,0.69781,0.73424,0.54373,0.91813,0.75764,0.8654,0.000610789,0.000610789,0.000610789
34,1378.45,0.67134,0.44971,0.87833,0.72166,0.69411,0.73883,0.54962,0.91493,0.74389,0.86617,0.000577782,0.000577782,0.000577782
35,1418.95,0.66373,0.44554,0.87539,0.71322,0.69692,0.74305,0.55132,0.91142,0.73518,0.86523,0.000544776,0.000544776,0.000544776
36,1459.98,0.66484,0.44249,0.87657,0.72395,0.69927,0.7497,0.55545,0.92345,0.72929,0.86719,0.000511769,0.000511769,0.000511769
37,1501.53,0.66038,0.43809,0.87559,0.72575,0.69722,0.73819,0.55189,0.91246,0.74439,0.86496,0.000478762,0.000478762,0.000478762
38,1543.81,0.6605,0.43758,0.87432,0.71504,0.70391,0.74366,0.55515,0.9056,0.72984,0.86294,0.000445756,0.000445756,0.000445756
39,1586.61,0.65388,0.43191,0.87325,0.73338,0.69339,0.74963,0.56012,0.90101,0.72172,0.86269,0.000412749,0.000412749,0.000412749
40,1626.77,0.65288,0.42848,0.87226,0.71714,0.69954,0.74462,0.55649,0.90222,0.72868,0.86485,0.000379743,0.000379743,0.000379743
41,1673.29,0.6531,0.42122,0.86099,0.71402,0.69424,0.73865,0.54876,0.91793,0.74451,0.86815,0.000346736,0.000346736,0.000346736
42,1711.85,0.65107,0.41327,0.86086,0.72657,0.68858,0.73167,0.54374,0.91443,0.7667,0.86804,0.000313729,0.000313729,0.000313729
43,1750.53,0.64537,0.40839,0.85921,0.71467,0.69486,0.73668,0.54723,0.91371,0.75478,0.86754,0.000280723,0.000280723,0.000280723
44,1789.18,0.64347,0.40334,0.85871,0.72452,0.69354,0.73402,0.54784,0.91358,0.75919,0.86816,0.000247716,0.000247716,0.000247716
45,1827.87,0.64142,0.40126,0.85772,0.72833,0.69506,0.74276,0.5551,0.91399,0.74298,0.86591,0.00021471,0.00021471,0.00021471
46,1866.5,0.63651,0.3953,0.85525,0.72209,0.69837,0.73919,0.55175,0.91584,0.74672,0.86724,0.000181703,0.000181703,0.000181703
47,1905.18,0.63193,0.39145,0.85463,0.72999,0.69356,0.73755,0.54977,0.91417,0.75822,0.86639,0.000148696,0.000148696,0.000148696
48,1943.71,0.63085,0.38719,0.85355,0.73255,0.68837,0.73115,0.54498,0.91529,0.77441,0.86721,0.00011569,0.00011569,0.00011569
