epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.294,0.8032,0.76685,0.978,0.59022,0.62326,0.60164,0.40371,1.13399,1.11774,0.96128,0.000554966,0.000554966,0.000554966
2,530.122,0.78756,0.64618,0.97061,0.69674,0.64818,0.67394,0.4745,1.04899,0.92636,0.93032,0.00108864,0.00108864,0.00108864
3,791.661,0.75425,0.59969,0.95696,0.66028,0.6963,0.7244,0.51402,0.97763,0.81934,0.92005,0.00160031,0.00160031,0.00160031
4,1053.11,0.73091,0.57172,0.94631,0.66828,0.70069,0.73381,0.52674,0.96567,0.75687,0.90866,0.00156798,0.00156798,0.00156798
5,1322.29,0.70762,0.53954,0.93809,0.68311,0.71053,0.72982,0.52984,0.94998,0.76092,0.91139,0.00153497,0.00153497,0.00153497
6,1588.09,0.69537,0.52214,0.93199,0.69542,0.70529,0.7328,0.53154,0.93921,0.75027,0.90513,0.00150197,0.00150197,0.00150197
7,1854.09,0.67492,0.4976,0.924,0.71726,0.70121,0.74489,0.55539,0.89117,0.72221,0.89557,0.00146896,0.00146896,0.00146896
8,2124.13,0.66663,0.48631,0.92146,0.65081,0.70904,0.73984,0.54076,0.91463,0.78238,0.89616,0.00143595,0.00143595,0.00143595
9,2390.79,0.66002,0.4769,0.91781,0.6925,0.71141,0.74644,0.55459,0.87649,0.71956,0.88547,0.00140295,0.00140295,0.00140295
10,2658.11,0.65706,0.47061,0.91633,0.73052,0.72119,0.7477,0.55763,0.8657,0.70515,0.88146,0.00136994,0.00136994,0.00136994
11,2924.89,0.64787,0.46197,0.91359,0.73455,0.72543,0.78177,0.58182,0.88377,0.66052,0.88904,0.00133693,0.00133693,0.00133693
12,3195.3,0.64467,0.44929,0.91155,0.70307,0.6963,0.72284,0.52711,0.89489,0.7814,0.89262,0.00130393,0.00130393,0.00130393
13,3460.11,0.63977,0.44504,0.90943,0.74344,0.71934,0.77113,0.58301,0.84465,0.66906,0.88263,0.00127092,0.00127092,0.00127092
14,3722.48,0.63783,0.43961,0.90766,0.74337,0.72711,0.77924,0.58522,0.87307,0.65931,0.88774,0.00123791,0.00123791,0.00123791
15,3985.33,0.62559,0.42635,0.90408,0.74658,0.72888,0.79086,0.60136,0.84277,0.63531,0.88595,0.00120491,0.00120491,0.00120491
16,4238.76,0.6255,0.42493,0.90444,0.73433,0.72438,0.78678,0.59758,0.82848,0.63408,0.88058,0.0011719,0.0011719,0.0011719
17,4487.89,0.61623,0.41539,0.89882,0.74866,0.72706,0.78067,0.58736,0.83872,0.67264,0.88543,0.00113889,0.00113889,0.00113889
18,4737.03,0.61891,0.41082,0.89834,0.76003,0.74266,0.79148,0.60519,0.82124,0.6436,0.87604,0.00110589,0.00110589,0.00110589
19,4993.48,0.60924,0.4039,0.89732,0.72662,0.73679,0.7791,0.59549,0.83119,0.64051,0.88025,0.00107288,0.00107288,0.00107288
20,5250.65,0.60498,0.39567,0.89387,0.79703,0.71091,0.78307,0.59879,0.81082,0.65783,0.87772,0.00103987,0.00103987,0.00103987
21,5501.5,0.60335,0.39481,0.89408,0.76648,0.74026,0.7984,0.6079,0.82637,0.61124,0.88008,0.00100687,0.00100687,0.00100687
22,5751.07,0.59772,0.38521,0.89118,0.73889,0.73584,0.78509,0.60183,0.81534,0.64854,0.87705,0.000973861,0.000973861,0.000973861
23,6000.06,0.59272,0.38169,0.88958,0.7507,0.73871,0.79364,0.61048,0.81648,0.61087,0.87811,0.000940855,0.000940855,0.000940855
24,6249.53,0.58916,0.37698,0.88843,0.73704,0.737,0.78635,0.5983,0.83305,0.63696,0.87948,0.000907848,0.000907848,0.000907848
25,6498.53,0.58673,0.3721,0.88654,0.75753,0.73069,0.79823,0.61279,0.8072,0.60282,0.87716,0.000874842,0.000874842,0.000874842
26,6747.79,0.58371,0.37005,0.88417,0.7617,0.73447,0.78917,0.60434,0.81373,0.62401,0.87738,0.000841835,0.000841835,0.000841835
27,6996.62,0.58263,0.3672,0.88536,0.75701,0.74596,0.79963,0.61624,0.82034,0.59246,0.88145,0.000808828,0.000808828,0.000808828
28,7245.84,0.57515,0.35955,0.88225,0.77193,0.73262,0.78938,0.60821,0.80654,0.61174,0.87761,0.000775822,0.000775822,0.000775822
29,7494.77,0.57274,0.35475,0.88136,0.76138,0.73745,0.79616,0.61308,0.81373,0.60639,0.87718,0.000742815,0.000742815,0.000742815
30,7743.62,0.57367,0.35218,0.88043,0.79297,0.73867,0.80118,0.61553,0.80884,0.59903,0.87537,0.000709809,0.000709809,0.000709809
