epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.5482,0.65374,0.70437,0.92583,0.61303,0.62075,0.60022,0.38515,1.22199,1.04292,0.95297,0.000554267,0.000554267,0.000554267
2,117.708,0.63093,0.53026,0.91064,0.6288,0.64761,0.6538,0.44103,1.12512,0.94871,0.93074,0.00108796,0.00108796,0.00108796
3,175.366,0.61173,0.50648,0.90138,0.46034,0.65672,0.58781,0.37417,1.18073,1.31124,0.95751,0.00159964,0.00159964,0.00159964
4,232.527,0.5969,0.48374,0.89806,0.58794,0.65894,0.64635,0.41506,1.20164,1.05984,0.95919,0.00156798,0.00156798,0.00156798
5,289.698,0.58254,0.46911,0.89337,0.68648,0.6646,0.69841,0.49759,1.03878,0.83343,0.90079,0.00153497,0.00153497,0.00153497
6,347.065,0.56893,0.44786,0.88734,0.67704,0.69028,0.70731,0.50691,0.97847,0.82009,0.89195,0.00150197,0.00150197,0.00150197
7,404.058,0.56333,0.44169,0.88589,0.69216,0.68299,0.72013,0.51416,1.00219,0.77074,0.8986,0.00146896,0.00146896,0.00146896
8,460.945,0.55765,0.43465,0.88511,0.70027,0.67529,0.72712,0.51575,0.98454,0.78051,0.89056,0.00143595,0.00143595,0.00143595
9,518.081,0.5493,0.42273,0.88228,0.57641,0.69881,0.68715,0.48334,1.00027,0.96999,0.90074,0.00140295,0.00140295,0.00140295
10,574.853,0.54407,0.42005,0.88112,0.72052,0.7073,0.74875,0.55362,0.9398,0.72051,0.88539,0.00136994,0.00136994,0.00136994
11,631.828,0.53609,0.40829,0.87778,0.69949,0.67171,0.69937,0.52153,0.94267,0.81898,0.88773,0.00133693,0.00133693,0.00133693
12,688.686,0.53322,0.40303,0.87751,0.70636,0.71161,0.75328,0.54613,0.94426,0.72163,0.88231,0.00130393,0.00130393,0.00130393
13,745.586,0.52929,0.39611,0.87499,0.69157,0.7139,0.75412,0.55223,0.93026,0.72057,0.88356,0.00127092,0.00127092,0.00127092
14,802.413,0.52124,0.3881,0.87295,0.68999,0.70814,0.73584,0.53788,0.90888,0.75791,0.88387,0.00123791,0.00123791,0.00123791
15,859.488,0.52227,0.38466,0.87243,0.71352,0.72803,0.7639,0.56874,0.91735,0.67862,0.87965,0.00120491,0.00120491,0.00120491
